Id,source,SalePrice,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
1,train,208500.0,0.817255470982,5,7,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,8,-0.16974044509,AllPub,-0.929191516623,2003,2003,2008
2,train,181500.0,-1.07568666246,8,6,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,6,0.480761850746,AllPub,1.36042310739,1976,1976,2007
3,train,223500.0,0.633193407753,5,7,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,6,-0.0545833150781,AllPub,-0.929191516623,2001,2002,2008
4,train,140000.0,0.545028498069,5,7,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,7,-0.362382063719,AllPub,-0.929191516623,1915,1970,2006
5,train,250000.0,0.97868426331,5,8,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,9,0.310524481299,AllPub,1.07825585475,2000,2000,2008
6,train,143000.0,0.471435816564,5,5,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,5,-0.283304588941,AllPub,0.256638083661,1993,1995,2009
7,train,307000.0,0.783458793806,5,8,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,7,1.01808573225,AllPub,1.25750285526,2004,2005,2007
8,train,200000.0,1.4428068395,6,7,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,7,0.252622720609,AllPub,1.20484419385,1973,1973,2009
9,train,129900.0,-1.07568666246,5,7,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,8,0.000903246542093,AllPub,0.647724752698,1931,1950,2008
10,train,118000.0,-0.3835779835,6,5,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,5,0.0667913409636,AllPub,-0.929191516623,1939,1950,2008
11,train,129500.0,-1.07568666246,5,5,Y,0.0,None,CompShg,Hip,WD,-0.308889511743,Pave,5,0.147051754228,AllPub,-0.929191516623,1965,1965,2008
12,train,345000.0,0.304717724313,5,9,Y,0.0,None,CompShg,Hip,New,-0.308889511743,Pave,11,0.355294111814,AllPub,0.918786636625,2005,2006,2006
13,train,144000.0,-1.07568666246,6,5,Y,0.0,None,CompShg,Hip,WD,3.23468805352,Pave,4,-0.0686652885316,AllPub,0.890584599608,1962,1962,2008
14,train,279500.0,0.516832758302,5,7,Y,0.0,None,CompShg,Gable,New,-0.308889511743,Pave,7,0.788112867239,AllPub,0.968445953157,2006,2007,2007
15,train,157000.0,1.46598549298,5,6,Y,0.0,None,CompShg,Hip,WD,-0.308889511743,Pave,5,0.4680684852,AllPub,-0.929191516623,1960,1960,2008
16,train,132000.0,1.12656717098,8,7,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,5,-0.214476671564,AllPub,0.33874160269,1929,2001,2007
17,train,149000.0,-1.07568666246,7,6,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,5,0.0883505977037,AllPub,-0.929191516623,1970,1970,2010
18,train,90000.0,-1.07568666246,5,4,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,6,-4.74688154527,AllPub,-0.929191516623,1967,1967,2006
19,train,159000.0,1.07821190947,5,5,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,6,0.263392150107,AllPub,-0.929191516623,2004,2004,2008
20,train,139000.0,-1.07568666246,6,5,Y,0.0,None,CompShg,Hip,COD,-0.308889511743,Pave,6,0.129268121803,AllPub,-0.929191516623,1958,1965,2009
21,train,325300.0,1.29319086335,5,8,Y,0.0,None,CompShg,Gable,New,-0.308889511743,Pave,9,0.330024178551,AllPub,1.21833401842,2005,2006,2006
22,train,139400.0,-1.07568666246,7,7,N,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,6,-0.61643549918,AllPub,-0.929191516623,1930,1950,2007
23,train,230000.0,1.31007566268,5,8,Y,0.0,None,CompShg,Hip,WD,-0.308889511743,Pave,7,1.12071234105,AllPub,1.00801819293,2002,2002,2008
24,train,129900.0,1.11723049675,7,5,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,6,0.147051754228,AllPub,0.703633739911,1976,1976,2007
25,train,154000.0,1.01391788343,8,5,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,6,0.179051484886,AllPub,1.57455557068,1968,2001,2010
26,train,256300.0,0.774663824489,5,8,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,7,0.876650504634,AllPub,-0.929191516623,2007,2007,2009
27,train,134800.0,0.502138558242,7,5,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,5,-0.089951106549,AllPub,1.16866854003,1951,2000,2010
28,train,306000.0,0.718597740719,5,8,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,7,1.0386876319,AllPub,-0.929191516623,2007,2008,2010
29,train,207500.0,1.5695473787,6,5,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,6,0.775581426278,AllPub,1.33760036452,1957,1997,2006
30,train,68500.0,-1.07568666246,6,4,Y,0.0,None,CompShg,Gable,WD,-0.308889511743,Pave,4,-0.900986596434,AllPub,0.348233259504,1927,1950,2008
31,train,40000.0,0.756625226684,4,4,N,0.0,None,CompShg,Gambrel,WD,-0.308889511743,Pave,6,-0.589383519896,AllPub,-0.929191516623,1920,1950,2008
